iter	Passed	Remaining
0	139	139630
1	141	70360
2	143	47656
3	144	35962
4	145	28933
5	146	24261
6	147	20920
7	148	18410
8	149	16454
9	150	14894
10	151	13620
11	152	12553
12	153	11651
13	154	10884
14	156	10290
15	157	9704
16	158	9185
17	159	8717
18	160	8300
19	161	7926
20	162	7592
21	163	7281
22	164	7003
23	165	6742
24	167	6522
25	171	6408
26	172	6214
27	173	6021
28	174	5849
29	175	5687
30	178	5588
31	179	5436
32	181	5310
33	182	5192
34	183	5064
35	184	4946
36	185	4830
37	186	4722
38	187	4631
39	188	4532
40	189	4436
41	190	4346
42	191	4259
43	192	4175
44	192	4095
45	193	4019
46	194	3946
47	195	3876
48	196	3811
49	197	3756
50	199	3710
51	200	3651
52	201	3592
53	201	3535
54	202	3480
55	203	3427
56	204	3377
57	204	3327
58	205	3280
59	206	3234
60	207	3190
61	208	3147
62	209	3113
63	211	3090
64	212	3053
65	213	3015
66	213	2976
67	214	2939
68	215	2902
69	215	2869
70	217	2840
71	218	2814
72	219	2785
73	220	2754
74	220	2723
75	221	2693
76	222	2665
77	223	2639
78	224	2613
79	226	2605
80	227	2579
81	228	2553
82	228	2524
83	229	2499
84	229	2474
85	230	2450
86	231	2427
87	232	2404
88	232	2382
89	233	2359
90	234	2337
91	234	2316
92	235	2295
93	236	2275
94	236	2254
95	237	2235
96	238	2216
97	238	2197
98	241	2198
99	242	2181
100	243	2166
101	244	2150
102	245	2134
103	246	2120
104	246	2105
105	247	2090
106	248	2076
107	249	2062
108	250	2049
109	251	2035
110	252	2020
111	252	2005
112	253	1990
113	257	1999
114	258	1989
115	259	1976
116	259	1961
117	260	1948
118	261	1934
119	261	1920
120	262	1907
121	263	1894
122	263	1881
123	264	1869
124	265	1856
125	265	1844
126	266	1831
127	267	1820
128	267	1808
129	268	1797
130	272	1809
131	273	1800
132	274	1789
133	275	1778
134	275	1768
135	276	1758
136	277	1749
137	278	1740
138	279	1730
139	280	1720
140	280	1710
141	281	1699
142	281	1689
143	282	1680
144	283	1670
145	286	1674
146	287	1666
147	287	1657
148	288	1647
149	289	1639
150	289	1630
151	290	1621
152	291	1612
153	292	1604
154	292	1595
155	293	1587
156	294	1578
157	294	1570
158	295	1564
159	296	1556
160	296	1547
161	297	1540
162	298	1532
163	300	1533
164	301	1526
165	302	1519
166	303	1513
167	304	1506
168	304	1499
169	305	1491
170	306	1484
171	306	1477
172	307	1470
173	308	1463
174	308	1456
175	309	1449
176	310	1442
177	311	1436
178	311	1429
179	312	1423
180	316	1430
181	317	1425
182	317	1419
183	318	1413
184	319	1407
185	320	1403
186	321	1398
187	322	1392
188	322	1385
189	323	1379
190	324	1374
191	325	1368
192	325	1362
193	326	1356
194	327	1350
195	327	1344
196	330	1347
197	331	1342
198	332	1337
199	333	1332
200	333	1327
201	334	1321
202	335	1316
203	335	1310
204	336	1305
205	337	1300
206	338	1295
207	338	1290
208	339	1284
209	340	1279
210	340	1275
211	341	1269
212	342	1264
213	346	1272
214	347	1267
215	347	1262
216	348	1257
217	349	1252
218	350	1249
219	351	1245
220	352	1241
221	352	1236
222	353	1232
223	354	1227
224	354	1222
225	355	1217
226	356	1213
227	357	1209
228	357	1205
229	360	1207
230	361	1203
231	362	1201
232	363	1197
233	364	1193
234	365	1189
235	366	1185
236	366	1181
237	367	1177
238	368	1173
239	369	1169
240	370	1165
241	370	1161
242	371	1157
243	372	1153
244	374	1155
245	375	1151
246	376	1147
247	376	1143
248	377	1139
249	378	1135
250	379	1131
251	379	1127
252	380	1123
253	381	1119
254	381	1115
255	382	1112
256	383	1108
257	384	1104
258	384	1100
259	385	1096
260	386	1093
261	386	1089
262	388	1088
263	389	1085
264	390	1081
265	390	1078
266	391	1074
267	392	1070
268	392	1067
269	393	1063
270	394	1060
271	395	1057
272	395	1054
273	396	1050
274	397	1047
275	397	1043
276	398	1040
277	399	1036
278	399	1033
279	400	1030
280	401	1026
281	403	1026
282	403	1023
283	404	1019
284	405	1016
285	405	1013
286	406	1010
287	407	1006
288	407	1003
289	408	1000
290	409	997
291	409	994
292	410	990
293	411	987
